Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
2swZ0X1njeU32SNJeBKIfW,1yM8iaMk4Slsqr94LabgN1,Inmortal,256440,2022-03-05T16:29:05Z,False,https://open.spotify.com/track/2swZ0X1njeU32SNJeBKIfW
3sTVMGhTdyyLM67WyYhYMB,17HsiXfqKUPoTP6Y5ebs1L,7 Días,253200,2022-04-26T19:58:34Z,False,https://open.spotify.com/track/3sTVMGhTdyyLM67WyYhYMB
6DbnN0ZUrtl3VyN6878BUS,42MprhiBa2FwQ9Gk00ya8M,Una Noche Más,182857,2022-07-11T15:54:54Z,False,https://open.spotify.com/track/6DbnN0ZUrtl3VyN6878BUS
6CKlQHQIxhWtq7MnEJ6QCz,17HsiXfqKUPoTP6Y5ebs1L,Hilito,234760,2022-04-26T19:58:36Z,False,https://open.spotify.com/track/6CKlQHQIxhWtq7MnEJ6QCz
1sQrCwV8vvtYLqa0KQlwE9,6a3RDPcFamZvFCi8VeXWkK,You,248813,2022-04-26T19:58:38Z,False,https://open.spotify.com/track/1sQrCwV8vvtYLqa0KQlwE9
4ReMpzreT5dn9wMssEVTrI,6iXKTogNUFHBIkJcC2U7lO,No Pude Quitarte Las Espinas - Bachata,263253,2022-02-20T06:52:25Z,False,https://open.spotify.com/track/4ReMpzreT5dn9wMssEVTrI
6y7zN0mg5yfkZXTz1kD7NL,4lxga8GAH3aaPPNuiAkBKo,Sangre De Mis Venas,249034,2023-02-20T01:07:06Z,False,https://open.spotify.com/track/6y7zN0mg5yfkZXTz1kD7NL
4sZORoSxxnbSB4m9Ol7a7i,3oCFVFp52oBbQGhK4FmdFo,Como Me Gusta Esa Hembra - Versión Radio,148604,2023-04-24T15:00:39Z,False,https://open.spotify.com/track/4sZORoSxxnbSB4m9Ol7a7i
4TLzeL9PFoBoUNQv4sc7me,03Sa02WIHEwH8lHfbipmrz,José,253773,2023-02-20T01:56:47Z,False,https://open.spotify.com/track/4TLzeL9PFoBoUNQv4sc7me
5ww2BF9slyYgNOk37BlC4u,1TpGeAzOJgAGdPkcWl95r2,La Bachata,162637,2022-09-04T23:27:04Z,False,https://open.spotify.com/track/5ww2BF9slyYgNOk37BlC4u
4QhzVWRzBSOPKZNrIsgCAn,3VEZHE0ys2JmNNh4XeoNiw,Promesas De Amor,237230,2022-10-14T02:29:57Z,False,https://open.spotify.com/track/4QhzVWRzBSOPKZNrIsgCAn
6hj4B44W9LzsFJFNHpmFTw,0VLSRZj2zucgdtve2EvH4D,Adónde Se Fue ?,185333,2022-10-04T18:33:51Z,False,https://open.spotify.com/track/6hj4B44W9LzsFJFNHpmFTw
7nmNs5rnnuMRNmUB9ZucXk,7GmHYDIlNre9weplzsPZMJ,Cafecito,212693,2023-02-11T04:33:11Z,False,https://open.spotify.com/track/7nmNs5rnnuMRNmUB9ZucXk
1uuVXXoCSfVQsCJRUIWngg,5dfdGrd8eT15KDgURl1Uhj,Y Que Me Importa - En vivo,139691,2024-01-17T15:54:52Z,False,https://open.spotify.com/track/1uuVXXoCSfVQsCJRUIWngg
6hV6EpITzeBa1mzq5tvqpj,6a3RDPcFamZvFCi8VeXWkK,Soberbio,242333,2022-04-26T19:58:09Z,False,https://open.spotify.com/track/6hV6EpITzeBa1mzq5tvqpj
0Ihu6hcj4hrWVz22W3G10P,0mX3OGgKkGaFONpd2IfB1N,Es Tan Difícil,251386,2023-02-17T14:12:35Z,False,https://open.spotify.com/track/0Ihu6hcj4hrWVz22W3G10P
0weK7Rpf3QwOPqTBJM4Hau,37z6UCsiMV6Mk6p7kwmDKD,Ven Tú,290986,2022-04-26T19:58:57Z,False,https://open.spotify.com/track/0weK7Rpf3QwOPqTBJM4Hau
2jEgfmOjkzmdI8FFqNHrrf,2SoC60zXrZBkx0Q8CP8hPb,Antología De Caricias,237373,2022-10-04T18:34:31Z,False,https://open.spotify.com/track/2jEgfmOjkzmdI8FFqNHrrf
6VnVekvB9Ih19tL39IXrlv,42MprhiBa2FwQ9Gk00ya8M,Consejo de la Calle,156995,2023-04-06T23:59:04Z,False,https://open.spotify.com/track/6VnVekvB9Ih19tL39IXrlv
